date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:19	57466/57466	---M--	200	added ('OK')	image/png	etag:%22639ed280-e07a%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/watches.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/watches.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:20	241256/241256	---M--	200	added ('OK')	image/png	etag:%22639ed280-3ae68%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sharp-dress.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/sharp-dress.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:20	91340/91340	---M--	200	added ('OK')	image/png	etag:%22639ed280-164cc%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoes-blog-1.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/shoes-blog-1.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:20	7097/7097	---M--	200	added ('OK')	image/png	etag:%22639ed280-1bb9%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-1.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-1.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:21	113607/113607	---M--	200	added ('OK')	image/png	etag:%22639ed280-1bbc7%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/fashion-blog-2.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/fashion-blog-2.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:21	5537/5537	---M--	200	added ('OK')	image/png	etag:%22639ed280-15a1%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-2.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-2.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:21	145603/145603	---M--	200	added ('OK')	image/png	etag:%22639ed280-238c3%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/spring-dress-blog-3.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/spring-dress-blog-3.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:21	6661/6661	---M--	200	added ('OK')	image/png	etag:%22639ed280-1a05%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-3.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/author-3.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:22	675610/675610	---M--	200	added ('OK')	image/png	etag:%22639ed280-a4f1a%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/cta.png	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/img/gallery/cta.png	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:22	18594/18594	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ed280-48a2%22	https://themewagon.github.io/majestic-2/v1.0.0/vendors/@popperjs/popper.min.js	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/vendors/@popperjs/popper.min.js	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:22	61893/61893	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ed280-f1c5%22	https://themewagon.github.io/majestic-2/v1.0.0/vendors/bootstrap/bootstrap.min.js	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/vendors/bootstrap/bootstrap.min.js	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:23	13181/13181	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ed280-337d%22	https://themewagon.github.io/majestic-2/v1.0.0/vendors/is/is.min.js	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/vendors/is/is.min.js	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:23	75779/75779	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ed280-12803%22	https://themewagon.github.io/majestic-2/v1.0.0/vendors/feather-icons/feather.min.js	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/vendors/feather-icons/feather.min.js	(from https://themewagon.github.io/majestic-2/v1.0.0/)
17:12:23	13431/13431	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ed280-3477%22	https://themewagon.github.io/majestic-2/v1.0.0/assets/js/theme.js	C:/My%20Web%20Sites/demo/themewagon.github.io/majestic-2/v1.0.0/assets/js/theme.js	(from https://themewagon.github.io/majestic-2/v1.0.0/)
